,Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Grams,Variant Inventory Tracker,Variant Quantity,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Cost per item,Status
0,blacklotusx-basic-forex-bot,BlackLotusX - Basic Forex Bot,"A foundational automated trading solution for the Forex market, ideal for beginners. Includes core strategy implementation and basic risk management.",YourCompany,Digital Service,Bot Development,"Forex,Trading Bot,BlackLotusX",TRUE,License Type,Basic,Support Level,Standard,,,,,,,shopify,100,continue,manual,149.99,,FALSE,TRUE,,,,,FALSE,BlackLotusX Basic Forex Bot for Automated Trading,Automate your Forex trading with the BlackLotusX Basic Bot. Perfect for beginners.,Software > Computer Software > Business & Accounting Software,50,Active
1,blacklotusx-premium-forex-bot,BlackLotusX - Premium Forex Bot,"An advanced automated trading solution for the Forex market with enhanced strategies, custom indicators, and advanced risk management.",YourCompany,Digital Service,Bot Development,"Forex,Trading Bot,BlackLotusX",TRUE,License Type,Premium,Support Level,Priority,,,,,,,shopify,100,continue,manual,499.99,,FALSE,TRUE,,,,,FALSE,BlackLotusX Premium Forex Bot for Advanced Traders,Elevate your Forex trading with the BlackLotusX Premium Bot. Advanced features for serious traders.,Software > Computer Software > Business & Accounting Software,150,Active
2,blacklotusx-ultimate-forex-bot,BlackLotusX - Ultimate Forex Bot,"The ultimate automated trading solution for the Forex market, featuring proprietary algorithms, AI-driven insights, and dedicated support.",YourCompany,Digital Service,Bot Development,"Forex,Trading Bot,BlackLotusX",TRUE,License Type,Ultimate,Support Level,Dedicated,,,,,,,shopify,100,continue,manual,999.99,,FALSE,TRUE,,,,,FALSE,BlackLotusX Ultimate Forex Bot for Elite Performance,Unleash the full potential of Forex trading with the BlackLotusX Ultimate Bot. AI-driven and highly optimized.,Software > Computer Software > Business & Accounting Software,300,Active
3,binaryoptions-pocketoption-basic,PocketOption Bot - Basic,"A simple automated trading bot designed for PocketOption, focusing on basic signals and efficient execution.",YourCompany,Digital Service,Binary Options,"PocketOption,Trading Bot",TRUE,License Type,Basic,Platform,PocketOption,,,,,,,shopify,100,continue,manual,99.99,,FALSE,TRUE,,,,,FALSE,PocketOption Bot Basic for Binary Options Trading,"Automate your PocketOption trading with this basic, efficient bot.",Software > Computer Software > Business & Accounting Software,30,Active
4,binaryoptions-olymptrade-pro,OlympTrade Bot - Pro,"A professional automated trading bot for OlympTrade, offering multiple strategies and customizable settings.",YourCompany,Digital Service,Binary Options,"OlympTrade,Trading Bot",TRUE,License Type,Pro,Platform,OlympTrade,,,,,,,shopify,100,continue,manual,299.99,,FALSE,TRUE,,,,,FALSE,OlympTrade Bot Pro for Enhanced Binary Options Trading,"Boost your OlympTrade results with the Pro Bot, featuring advanced strategies.",Software > Computer Software > Business & Accounting Software,80,Active
5,binaryoptions-binomo-elite,Binomo Bot - Elite,"An elite automated trading bot for Binomo, with advanced analytical capabilities and high-frequency trading options.",YourCompany,Digital Service,Binary Options,"Binomo,Trading Bot",TRUE,License Type,Elite,Platform,Binomo,,,,,,,shopify,100,continue,manual,449.99,,FALSE,TRUE,,,,,FALSE,Binomo Bot Elite for High-Frequency Binary Options Trading,Experience elite-level trading on Binomo with this high-performance bot.,Software > Computer Software > Business & Accounting Software,120,Active
6,binaryoptions-iqoption-ultimate,IQ Option Bot - Ultimate,"The ultimate automated trading bot for IQ Option, combining AI-powered insights with comprehensive risk management.",YourCompany,Digital Service,Binary Options,"IQ Option,Trading Bot",TRUE,License Type,Ultimate,Platform,IQ Option,,,,,,,shopify,100,continue,manual,799.99,,FALSE,TRUE,,,,,FALSE,IQ Option Bot Ultimate for Comprehensive Binary Options,"Master IQ Option with the Ultimate Bot, offering AI insights and robust risk management.",Software > Computer Software > Business & Accounting Software,200,Active
7,crypto-arbitrage-bot,Crypto Arbitrage Bot,An automated bot designed to identify and exploit price discrepancies across various cryptocurrency exchanges.,YourCompany,Digital Service,Crypto,"Arbitrage,Trading Bot",TRUE,Service,Standard,,,,,,,,,shopify,100,continue,manual,349.99,,FALSE,TRUE,,,,,FALSE,Crypto Arbitrage Bot for Exchange Discrepancies,Profit from price differences across crypto exchanges with this arbitrage bot.,Software > Computer Software > Business & Accounting Software,100,Active
8,crypto-grid-trading-bot,Crypto Grid Trading Bot,"A robust grid trading bot for cryptocurrencies, automating buy and sell orders within a predefined price range.",YourCompany,Digital Service,Crypto,"Grid Trading,Trading Bot",TRUE,Service,Standard,,,,,,,,,shopify,100,continue,manual,249.99,,FALSE,TRUE,,,,,FALSE,Crypto Grid Trading Bot for Volatility,Automate your crypto trading within price ranges using the Grid Trading Bot.,Software > Computer Software > Business & Accounting Software,75,Active
9,crypto-defi-farming-bot,DeFi Yield Farming Automation,Automate your DeFi yield farming strategies to maximize returns and minimize manual effort.,YourCompany,Digital Service,Crypto,"DeFi,Yield Farming",TRUE,Service,Standard,,,,,,,,,shopify,100,continue,manual,599.99,,FALSE,TRUE,,,,,FALSE,DeFi Yield Farming Automation Bot,Maximize your DeFi returns with automated yield farming strategies.,Software > Computer Software > Business & Accounting Software,180,Active
